"","Sp.id","DIC","Temp","K.s","r.max","R.jag","R.mth"
"1","Ankistrodesmus",-2.45279094701069,20,0.022535121387192,0.816982447098274,0.1,0.049107120425239
"2","Chlamydomonas",51.7073505112683,20,0.362147719056995,1.37584463027174,0.2,0.248580079033391
"3","Chlorella",49.6448147648865,20,0.445858456264561,1.11475923854626,0.4,0.450070441661212
"4","Monoraphidium",3.63875241153612,20,0.528957063153527,1.06013483759494,0.6,0.592272189616758
"5","Scenedesmus",26.6633041111537,20,0.993431151536662,1.40821860121149,0.6,0.655870366513948
"6","Raphidocelis",36.5848879625281,20,2.69236391986263,1.47681073680176,1.3,1.64453112796506
