"population","umax","ks"
"25",1.62991407071463,1.4670948237357
"28",1.49841493811664,0.806795132671844
"15",1.28174400690368,0.635454336231927
"19",1.38350875172819,0.491663792986452
"4",1.45159014684238,0.89812838273532
"3",1.52373840946632,1.01856030211817
"14",1.37055535470248,0.348507739039487
"31",1.39693571903648,0.979391944947325
"cc1690",1.5720633115297,1.77363850489129
"8",1.46384350550694,0.728250537724723
"22",1.52672223527615,2.19956385598928
"16",1.49916418614217,1.69434084208975
"anc2",1.4947602641581,1.31039352813517
"23",1.39651078155359,0.808147548340459
"20",1.36260203969387,1.89839080349679
"11",1.61053030910411,1.46884219263797
"27",1.38985003370123,1.28092011933231
"anc3",1.389112944867,1.51934408222574
"anc5",1.67812964903635,1.9237595692513
"17",1.38938820034448,0.184876688051915
"7",1.30102130449304,0.519798801499843
"1",1.29470068576499,0.410814192438058
"26",1.37857708963107,1.07147518225717
"5",1.44310091323696,1.36377167878094
"2",1.39122365425837,0.507685840925272
"29",1.40425771375011,0.518882272963882
"24",1.41894018009434,0.534010574260166
"18",1.30386191695797,0.602454123223334
"anc4",1.36655471148579,1.19698308205032
"6",1.44599663144422,0.544700213142451
"21",1.38970078919636,0.412432202396546
"10",1.33312499915707,0.989423880624901
"33",1.57341064203919,1.52408865421747
"9",1.35608304282989,1.45891244329221
"30",1.32556513358316,0.482333467524086
"32",1.47113100865011,1.09623619175253
"35",1.32255835953431,0.121139948483221
