"well_plate","slope","n_pts","phos","population","well","rep"
"B05_22",1.56053375333918,6,20,"8","B05",1
"B05_23",1.69540083663994,5,20,"anc2","B05",1
"B05_24",1.49621394413881,6,20,"16","B05",1
"B05_25",1.72309311927528,7,35,"8","B05",1
"B05_26",1.6802563339991,5,35,"22","B05",1
"B05_27",1.60269630505601,5,35,"16","B05",1
"B05_28",1.82585377965946,7,50,"8","B05",1
"B05_29",1.49999199205138,5,50,"22","B05",1
"B05_3",0.302533821201904,5,0.5,"16","B05",1
"B05_30",1.53336290513878,5,50,"16","B05",1
"B05_4",1.01191563949314,6,1,"8","B05",1
"B05_5",-0.0713388952169018,3,1,"22","B05",1
"B05_6",0.553569754464058,5,1,"16","B05",1
"B05_7",1.2023727083604,7,2,"8","B05",1
"B05_8",0.79513648984235,5,2,"22","B05",1
"B05_9",1.00054416107602,6,2,"16","B05",1
"B06_1",0.506463230361483,5,0.5,"23","B06",1
"B06_10",1.41918368455122,5,4,"23","B06",1
"B06_11",1.33682056186039,6,4,"anc2","B06",2
"B06_12",1.24521138916919,6,4,"20","B06",1
"B06_13",1.34444821677932,5,6,"23","B06",1
"B06_14",1.44478742890596,7,6,"anc2","B06",2
"B06_15",1.47645061865187,5,6,"20","B06",1
"B06_16",1.57140502429202,7,8,"23","B06",1
"B06_17",1.41933935633619,6,8,"anc2","B06",2
"B06_18",1.35202670855459,5,8,"20","B06",1
"B06_19",1.50959294061328,6,10,"23","B06",1
"B06_2",0.520155770172785,5,0.5,"anc2","B06",2
"B06_20",1.46078592399419,6,10,"anc2","B06",2
"B06_21",1.35727867843794,5,10,"20","B06",1
"B06_22",1.52124634880734,7,20,"23","B06",1
"B06_23",1.51730364942163,6,20,"22","B06",2
"B06_24",1.46228984944905,6,20,"20","B06",1
"B06_25",1.47044285854692,6,35,"23","B06",1
"B06_26",1.73956880351453,5,35,"anc2","B06",2
"B06_27",1.57192904247016,6,35,"20","B06",1
"B06_28",1.64147840025695,5,50,"23","B06",1
"B06_29",1.67170871308586,5,50,"anc2","B06",2
"B06_3",0.210303586004307,6,0.5,"20","B06",1
"B06_30",1.65635495753574,5,50,"20","B06",1
"B06_4",0.519651523886086,3,1,"23","B06",1
"B06_5",0.819142800016514,6,1,"anc2","B06",2
"B06_6",0.171057455561648,5,1,"20","B06",1
"B06_7",0.796438463601755,5,2,"23","B06",1
"B06_8",1.49409194926899,5,2,"anc2","B06",2
"B06_9",0.957149578206986,5,2,"20","B06",1
"B07_1",0.594742162851267,5,0.5,"11","B07",1
"B07_10",1.28633212085139,6,4,"11","B07",1
"B07_11",1.43403454707897,4,4,"27","B07",1
