"","Sp.id","Sp.name","Study","RSE","RSE.mu","RSE.range","RSE.sd","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"1",5,"Ceratium furca",2,0.0437351307226706,0.0772495515691871,0.0745260544730316,0.194640168160737,10.6236651139714,9.44431215903166,11.5761551934762,0,31.9205665870541,31.7047467984615,32.2271974294926,0,25.6008514393868,24.9150260666568,26.3218441672281,0.572191009573978,0.542121696484108,0.608153441054482,16.9366397405276,16.2493199148296,17.6111793384227,0,30.4309501888338,30.1649086413127,30.7412331353153,0,0.0321584223363062,-1.40136185985088,35.2301586493864,4.16652977031734,0.0322111551402948,-1.40019092440339,35.2651920804613,4.1742429621508
"2",6,"Ceratium fusus",2,0.0458910410229486,0.0867127229009405,0.0505106927092224,0.189838054603345,9.74511683540371,7.74352057548409,11.0543473481398,0,31.1485418536855,30.9798122741754,31.3421810473115,0,26.8407356861971,26.2037308517656,27.667729556386,0.470361227371232,0.435200266391866,0.508373521477741,17.9793831106757,17.0539724966586,18.7829642566598,0,30.252993171407,29.9756417003916,30.6040572337594,0,0.0212330640889879,-1.22981834515028,33.0773347510861,1.84765781103488,0.0212083524503139,-1.22854014941123,33.0786922993787,1.83910456130172
"3",32,"Micractinium pusillum",3,0.0386777189129654,0.0676143827283562,0.0784749248484029,0.200391102936948,12.2644369793163,10.4136304398255,13.4378477325715,0,43.9614938502865,43.4676382620174,44.7021732089164,0,33.8353864300286,33.4414337075131,34.4713428877221,0.604468753129496,0.577497960256395,0.632572981108388,21.380430686214,20.6032573995925,21.8787907483221,0,41.4790335733531,41.0018355030883,42.2001926396025,0,0.0700035633498906,-0.658055576027636,47.2516187907166,12.6018317312824,0.0700419146686716,-0.653229721271059,47.2709478338182,12.6018317312824
"4",10,"Chroococcus minutus",4,0.0404888087088315,0.0300143847550985,0.06663718553829,0.160429327045946,-12.6509885850284,-60.7339467427175,1.01099671268277,0,38.5797950755474,38.144250039331,39.0986706313999,0,29.135557975056,28.7210839597728,29.4522047952016,1.36712118753909,1.33708048487237,1.3909108766654,14.0805985712827,13.3108105208223,14.8203142249702,0,36.3686317867698,36.0474420100635,36.6622260587179,0,0.0988648593284809,-0.106898437951649,38.8403153472129,9.27590572574653,0.0981646423190174,-0.125625698995201,38.8765952757542,9.31630637097109
"5",47,"Planktothrix agardhii",4,0.125171306889109,0.0664038213436307,0.0712354720730334,0.191478155887244,11.5442320101443,-13.8651568374155,13.9956124782838,0,36.5701417641568,36.1932048950152,37.0011419289488,0,31.4452514473353,31.0729794146174,31.8294986157095,1.92690965551562,1.82467429663297,2.06911862278443,23.3665423628054,22.4556547583505,24.2759826262268,0,35.3686200122785,35.1236417727132,35.6563652463207,0,0.186045078717289,-0.247510803071323,36.8150188003636,5.3434337763212,0.18625553338185,-0.238145045625427,36.8040326491912,5.33572095596702
"6",2,"Anabaena cylindrica",7,0.00417112916477419,0.0073087947516632,0.00760738494396168,0.0200783888161948,14.2581713310044,14.1129602795431,14.3420473128648,0.212212212212212,33.1011981234242,32.6779426951329,33.5264547036296,0.212212212212212,30.7853491599423,30.588459744982,30.9997440171092,0.620505783052456,0.605638304316793,0.642967410203343,22.8546887644467,22.5747560382234,23.1299840080466,0.212212212212212,32.6727833476249,32.3981388019008,32.9636287165631,0.212212212212212,0.0233489105019498,-1.39506446180711,33.8981424213513,0.757727244519163,0.0233329045568611,-1.39393528062187,33.7844080262458,0.712551806790891
"7",26,"Fragilaria bidens",7,0.145701125357897,0.141402489671872,0.179060004126701,0.50944532752242,-0.998474134617301,-7.29976952753468,5.0576130760929,0,33.0138805208825,32.1191479924082,34.0001572879619,0,23.2557537399929,21.9575993224634,24.4836146807719,0.85675294536233,0.764546461882031,0.942515702150513,10.1591891417371,6.48278097444071,13.086162127754,0,30.6623019151561,29.9329585547483,31.4754564256368,0,0.0567912862857205,-0.783172777092465,35.6507288052791,9.42155532706114,0.0561353331026365,-0.838139632169418,35.9120333724271,9.54464475060265
"8",29,"Fragilaria crotonensis",8,0.0781097542662146,0.134347702556269,0.139956556649731,0.364143655303381,7.98669875677361,3.33806893247535,10.1865042632665,0,35.1180474593534,34.6936304914165,35.6777440270085,0,26.5517877871044,25.4518938002332,27.763687858589,0.516122804288472,0.455806034123294,0.573267936370307,15.9048745113032,14.3555655107281,17.5428890701908,0,33.0109159726334,32.3980910963526,33.6128624867931,0,0.0840323110528693,-0.543199263430846,37.8295658917117,10.5782887341249,0.0845094133697015,-0.531448729088221,37.7208590501767,10.5203291955279
"9",56,"Staurastrum pingue",8,0.115894759363549,0.158673000223918,0.231142320230454,0.707169592831821,-1.33932058415718,-10.4991780815917,3.82508532246748,0,39.2769584535015,38.5418043738864,41.4133150785245,0,27.0883541767072,25.2167302913511,28.5866433891202,0.668730704121971,0.604736140719455,0.743450577759706,11.0023484557323,7.57220589412386,14.2527932689301,0,36.3162490311764,35.394669501143,38.3705936476302,0,0.0502951176957329,-0.726499963751249,43,12.7815731339937,0.0483999838169017,-0.718936840700581,43,12.813282216948
"10",1,"Acutodesmus obliquus",9,0.343540087506044,0.194602199778675,0.194602199778675,0.43455089418601,-3.64561353416155,-9.69328474499104,-1.90419428514716,0,36.003000422524,35.5278618874285,36.5773395892173,0,32.3330397405893,31.7628366377368,32.8157451732043,2.07259831659051,1.72356333323316,2.50382812266273,26.3180362036339,24.9287654151062,26.9268259227209,0,35.1488549724004,34.7137705810561,35.6497254890599,0,0.279291864695298,-0.001,36.0036306901005,3.57958284890999,0.268197518118471,-0.001,36.0281515107709,3.72722517232166
